"","no.","dis_order_des"
"1",401,"Scene9|Person6|Person3|Scene2|Person4|Person9|Object9|Scene4|Animal7|Object7|Scene5|Animal9|Person5|Animal6|Object1|Object2|Scene6|Animal8|Scenes8|Animal5|Scene7|Animal2|Person7|Person2|Animal1|Object6|Animal3|Person8|Object8|Object3|Object5|Animal4|Scene3|Person1|Scene1|Object4"
"2",402,"Person8|Object2|Scene5|Object4|Scene4|Animal9|Animal3|Person4|Scene1|Object5|Object9|Person5|Person2|Object1|Object3|Animal8|Person9|Animal5|Person3|Animal7|Scene7|Scene9|Object7|Animal2|Scene2|Animal1|Object8|Scene6|Scene3|Object6|Person6|Animal4|Animal6|Person1|Person7|Scenes8"
"3",403,"Scenes8|Animal3|Object4|Animal8|Person4|Animal4|Animal2|Object1|Animal7|Scene4|Object7|Object3|Scene7|Person9|Scene1|Person1|Animal9|Animal5|Scene5|Person2|Object6|Animal6|Scene9|Scene6|Object9|Object5|Person7|Scene2|Person6|Object2|Person3|Object8|Animal1|Person5|Person8|Scene3"
"4",404,"Animal8|Object1|Animal1|Object4|Scene6|Scene4|Object2|Person8|Animal9|Object3|Scene7|Scene1|Object7|Person3|Object5|Person2|Animal5|Person4|Object8|Animal7|Object9|Person9|Animal3|Animal6|Scene5|Object6|Scene3|Scenes8|Person6|Scene9|Person7|Person5|Animal2|Scene2|Person1|Animal4"
"5",405,"Object7|Animal2|Animal3|Object3|Object9|Person1|Person8|Object5|Object6|Animal6|Scene3|Person7|Person9|Animal9|Scenes8|Scene2|Scene1|Animal1|Scene5|Animal4|Person4|Person6|Person2|Scene7|Animal5|Animal7|Person5|Person3|Scene6|Object4|Object2|Animal8|Scene9|Object1|Scene4|Object8"
"6",406,"Scene5|Scene9|Object2|Object4|Object8|Object1|Object3|Person7|Animal9|Object7|Animal6|Scene1|Animal8|Scene4|Scene6|Person1|Animal7|Animal1|Person4|Object9|Animal4|Person5|Scenes8|Person6|Animal2|Object5|Animal5|Scene2|Scene3|Object6|Person2|Scene7|Person9|Person8|Animal3|Person3"
"7",407,"Person3|Scene5|Animal6|Scene2|Scene3|Scene6|Animal9|Object7|Object2|Animal7|Person2|Object4|Object9|Animal2|Person7|Person8|Animal4|Animal5|Animal1|Object3|Animal3|Person4|Scene7|Scene1|Person6|Object8|Person9|Scene4|Scene9|Person1|Object1|Object6|Person5|Animal8|Object5|Scenes8"
"8",408,"Scene7|Object8|Person2|Object3|Scene6|Person4|Object5|Scenes8|Animal7|Animal5|Animal1|Animal9|Person8|Object9|Object6|Animal2|Person9|Person5|Scene2|Scene4|Scene9|Person3|Animal3|Animal4|Scene1|Person1|Object7|Object1|Animal8|Object2|Scene3|Person6|Animal6|Object4|Person7|Scene5"
"9",409,"Person4|Person5|Animal3|Animal8|Object1|Person2|Person6|Person7|Scene3|Object6|Person8|Scene9|Object3|Scenes8|Scene6|Animal2|Object5|Animal6|Animal5|Object7|Scene5|Person1|Scene4|Scene1|Scene2|Object4|Object9|Scene7|Animal4|Object2|Animal7|Animal1|Animal9|Person9|Object8|Person3"
"10",410,"Scene1|Scene3|Object4|Animal8|Scene5|Object9|Person6|Object1|Person7|Animal1|Person8|Animal2|Object2|Object7|Animal5|Object5|Object6|Object8|Scene9|Animal7|Person3|Animal3|Object3|Person2|Animal4|Scene7|Person1|Scene4|Person9|Scene2|Person4|Scene6|Person5|Animal9|Scenes8|Animal6"
"11",411,"Person1|Animal1|Scene5|Object7|Animal7|Animal4|Object3|Person9|Scene6|Scene1|Person4|Object8|Scene7|Scene9|Animal3|Scene4|Person5|Person2|Animal8|Animal5|Scene3|Scenes8|Person3|Object2|Person6|Object6|Object5|Animal2|Scene2|Object4|Person8|Animal6|Object9|Object1|Animal9|Person7"
"12",412,"Object9|Scene2|Animal1|Scene7|Animal8|Animal4|Person4|Scene4|Animal3|Animal2|Person7|Person1|Animal7|Scenes8|Scene3|Animal5|Scene1|Object3|Animal9|Person8|Person5|Person6|Scene9|Object7|Animal6|Object2|Object1|Person2|Object6|Object5|Scene5|Person9|Person3|Scene6|Object4|Object8"
"13",413,"Scene4|Person1|Person5|Scene6|Person4|Object4|Animal1|Person6|Animal7|Scene9|Animal4|Object6|Object9|Object3|Person7|Scene7|Object5|Object8|Object7|Person8|Object1|Animal9|Person3|Animal5|Scene5|Animal8|Animal2|Animal6|Scenes8|Scene3|Object2|Person9|Person2|Animal3|Scene2|Scene1"
"14",414,"Scene5|Scene6|Person1|Object1|Scene9|Object9|Object6|Scene4|Person6|Object3|Scene1|Object7|Person9|Scene2|Animal7|Scene3|Object2|Person4|Scene7|Animal1|Object5|Animal8|Animal6|Animal9|Object8|Person5|Animal4|Object4|Person2|Scenes8|Person7|Person8|Person3|Animal3|Animal2|Animal5"
"15",415,"Scene5|Scene4|Person4|Object2|Person7|Object7|Person8|Object6|Scene1|Animal8|Object3|Scene9|Object1|Object5|Animal7|Animal1|Animal3|Animal9|Object9|Animal2|Animal4|Scenes8|Person2|Person9|Scene2|Object8|Person5|Person3|Animal6|Scene6|Person6|Person1|Animal5|Scene3|Object4|Scene7"
"16",416,"Scene4|Scene9|Person9|Animal9|Object3|Person1|Animal3|Person5|Scene2|Animal1|Scenes8|Object7|Object5|Animal2|Person2|Scene5|Object6|Scene7|Person8|Animal5|Object8|Person7|Scene1|Object9|Scene3|Person3|Animal4|Animal7|Person4|Object1|Person6|Object2|Object4|Animal8|Animal6|Scene6"
"17",417,"Person6|Person5|Person9|Scene9|Object9|Person2|Animal7|Scenes8|Person1|Scene4|Animal8|Animal2|Scene7|Object8|Object1|Scene3|Object6|Object7|Scene2|Object3|Person4|Animal1|Object5|Person7|Animal4|Person8|Animal3|Animal9|Person3|Animal6|Scene1|Scene6|Animal5|Scene5|Object2|Object4"
"18",418,"Object3|Scene7|Person4|Object8|Person1|Animal1|Animal7|Person5|Person6|Scene6|Person7|Animal9|Object9|Animal3|Scene9|Animal8|Animal4|Scene2|Person9|Object4|Object7|Animal2|Object1|Person8|Scene4|Person3|Object2|Scene3|Scene5|Animal6|Person2|Animal5|Object5|Scene1|Object6|Scenes8"
"19",419,"Object2|Animal8|Animal7|Object7|Animal3|Scene1|Animal4|Object3|Person2|Scene3|Object8|Scene2|Scenes8|Person7|Object1|Person3|Animal2|Animal6|Person4|Person6|Object4|Person9|Object6|Person5|Animal1|Scene6|Animal5|Person1|Scene7|Animal9|Person8|Object9|Scene5|Scene4|Object5|Scene9"
"20",420,"Person2|Scene7|Object5|Animal2|Object7|Object4|Scene5|Object3|Scene3|Person7|Person9|Animal5|Person1|Scene2|Scene9|Scene6|Scenes8|Animal4|Person3|Animal8|Scene1|Person6|Person8|Object2|Person4|Object1|Person5|Scene4|Object9|Animal1|Animal3|Animal9|Animal6|Object8|Animal7|Object6"
"21",421,"Animal3|Animal8|Object5|Scene3|Animal2|Object8|Object9|Scene2|Object3|Scene6|Person4|Person9|Scene5|Object2|Animal1|Scene9|Person6|Scene1|Object1|Animal4|Person1|Person7|Animal6|Scenes8|Scene4|Object6|Scene7|Object7|Animal5|Animal9|Person3|Person5|Object4|Animal7|Person8|Person2"
"22",422,"Person7|Animal5|Animal1|Object5|Animal9|Person2|Animal8|Object1|Person8|Person5|Animal7|Person6|Scene2|Person4|Scene3|Person9|Scene4|Object9|Object4|Animal6|Object7|Scene5|Scene6|Object2|Scene9|Person1|Animal4|Object3|Object8|Scenes8|Animal3|Person3|Scene1|Object6|Animal2|Scene7"
"23",423,"Animal8|Object8|Person1|Scene4|Object1|Animal2|Object7|Scene2|Object4|Animal5|Animal6|Animal4|Scene3|Object9|Scene1|Person7|Object3|Object2|Person3|Animal9|Object6|Person6|Animal7|Scene7|Animal1|Person8|Person2|Person9|Animal3|Scene9|Scenes8|Scene6|Person4|Scene5|Person5|Object5"
"24",424,"Object2|Object7|Person3|Object1|Person4|Animal3|Animal9|Scenes8|Animal5|Animal1|Animal6|Scene9|Person2|Object9|Scene4|Animal2|Object5|Object6|Scene7|Scene2|Object4|Person5|Person8|Person9|Object8|Scene5|Person6|Person7|Scene6|Animal4|Scene1|Object3|Animal7|Person1|Scene3|Animal8"
"25",425,"Object4|Scenes8|Scene5|Person7|Person4|Person2|Animal9|Animal5|Person9|Animal8|Person3|Scene1|Animal1|Animal2|Object1|Object6|Object3|Person8|Scene3|Scene9|Animal4|Scene2|Animal3|Scene7|Object2|Object8|Object9|Person1|Person5|Scene4|Animal7|Scene6|Animal6|Person6|Object5|Object7"
"26",426,"Person3|Person6|Scenes8|Scene5|Animal5|Object4|Object6|Animal4|Person4|Animal9|Object8|Person9|Animal3|Animal6|Animal7|Scene3|Person5|Scene4|Scene1|Object5|Scene7|Animal1|Object1|Scene2|Person8|Object2|Animal8|Animal2|Object7|Scene6|Scene9|Person2|Person1|Object9|Object3|Person7"
"27",427,"Person9|Object3|Person4|Person7|Scene6|Person8|Scene4|Person2|Scene5|Scene1|Animal5|Scene3|Object1|Animal9|Scene9|Person5|Animal7|Animal1|Animal3|Object5|Animal6|Person6|Object2|Scene7|Object9|Object7|Object6|Animal8|Object4|Animal2|Object8|Animal4|Scene2|Person3|Scenes8|Person1"
"28",428,"Animal5|Animal2|Person3|Object8|Scenes8|Person9|Scene1|Person1|Object1|Animal9|Animal8|Animal6|Animal4|Person2|Scene9|Object2|Object6|Animal7|Scene4|Object7|Person8|Object3|Person7|Scene2|Animal1|Scene7|Object5|Object4|Scene6|Scene5|Object9|Person4|Person6|Animal3|Scene3|Person5"
"29",429,"Object2|Person2|Person5|Animal2|Animal5|Object6|Object5|Scene6|Object1|Scene5|Scene4|Animal6|Scenes8|Person6|Animal4|Person9|Scene3|Person1|Person4|Scene1|Animal7|Animal3|Object9|Scene7|Animal1|Animal8|Person7|Object7|Animal9|Object4|Scene2|Scene9|Object8|Person3|Object3|Person8"
"30",430,"Person9|Animal8|Person7|Animal4|Object7|Person1|Animal5|Animal9|Scene1|Object1|Object5|Person5|Object8|Animal6|Object4|Animal7|Person8|Person3|Person2|Object6|Scene3|Animal3|Scene6|Animal1|Scene5|Scene2|Person6|Animal2|Object9|Object2|Scene4|Scene7|Object3|Scene9|Person4|Scenes8"
"31",431,"Person3|Person4|Scene3|Object4|Person9|Animal4|Animal6|Animal7|Object7|Object2|Scene5|Object3|Scene9|Animal1|Person8|Scene6|Animal5|Animal3|Animal8|Scenes8|Scene7|Object5|Animal2|Object8|Person6|Scene1|Object6|Animal9|Scene4|Object1|Person2|Person1|Scene2|Object9|Person7|Person5"
"32",432,"Person8|Animal8|Object4|Object2|Object1|Person7|Person5|Animal4|Scene3|Animal7|Scene2|Animal9|Scenes8|Object7|Object8|Scene4|Animal2|Person9|Object3|Person6|Animal1|Object6|Object5|Object9|Scene9|Scene6|Scene1|Person2|Person1|Animal6|Person3|Person4|Scene5|Animal5|Animal3|Scene7"
"33",433,"Object6|Person6|Animal3|Animal7|Object9|Object7|Animal5|Scene1|Scene5|Animal1|Person4|Person1|Person7|Scene6|Object2|Scene9|Animal6|Object5|Person8|Person2|Scene3|Person9|Person3|Scenes8|Object8|Scene4|Animal9|Object3|Object4|Animal2|Object1|Scene2|Animal4|Person5|Scene7|Animal8"
"34",434,"Scenes8|Animal6|Scene6|Object2|Scene9|Object1|Person2|Person9|Scene5|Animal1|Animal7|Animal4|Animal5|Object9|Person7|Animal9|Animal8|Person5|Object3|Object4|Person8|Scene3|Object7|Animal2|Person1|Animal3|Scene7|Object6|Object5|Scene2|Person6|Person3|Scene1|Person4|Object8|Scene4"
"35",435,"Animal9|Object3|Person1|Animal2|Object6|Person3|Object9|Person9|Object8|Animal6|Animal3|Scene9|Scenes8|Scene3|Animal4|Scene6|Scene2|Scene7|Person6|Scene5|Object7|Object2|Scene4|Person2|Object1|Animal7|Person8|Person4|Animal8|Object5|Person5|Animal5|Scene1|Animal1|Person7|Object4"
"36",436,"Object1|Object8|Person9|Animal9|Person1|Person5|Object9|Person8|Animal7|Animal6|Animal8|Person7|Animal3|Scene3|Scenes8|Person3|Scene5|Animal4|Person4|Object2|Scene7|Scene4|Person2|Animal5|Scene2|Scene9|Scene1|Scene6|Person6|Object7|Object3|Object6|Animal2|Object5|Object4|Animal1"
