"","no.","dis_order_des"
"1","1","Animal3|Person2|Animal2|Object8|Animal6|Scene9|Scene6|Person9|Animal7|Object4|Object6|Scene2|Person1|Person8|Scenes8|Object7|Object3|Animal8|Person3|Animal5|Scene7|Person6|Scene5|Scene3|Object9|Scene4|Person7|Animal1|Animal4|Object5|Person4|Animal9|Scene1|Object2|Object1|Person5"
"2","2","Person7|Scene7|Animal2|Person3|Object7|Person6|Scene2|Scene5|Person2|Person8|Animal4|Animal1|Object4|Scene4|Animal9|Person9|Person4|Scene3|Object5|Person1|Object1|Scene9|Object2|Person5|Animal5|Animal7|Object8|Animal3|Object3|Animal8|Object9|Scene1|Object6|Scenes8|Animal6|Scene6"
"3","3","Person8|Object9|Scene4|Object3|Scene9|Person6|Scene2|Scenes8|Person3|Animal3|Animal9|Animal5|Person2|Animal8|Scene6|Animal4|Scene7|Person9|Scene1|Scene3|Object4|Animal7|Scene5|Person7|Animal2|Animal6|Person1|Object5|Object1|Person4|Object8|Object2|Object7|Object6|Animal1|Person5"
"4","4","Scene9|Object8|Animal5|Object3|Animal2|Person7|Scene7|Scene2|Object5|Object7|Scene1|Person4|Person8|Animal4|Animal6|Scene6|Animal7|Object6|Object9|Person5|Person1|Scene4|Object1|Animal9|Person2|Scene5|Animal3|Animal1|Object4|Person6|Object2|Animal8|Person3|Scene3|Scenes8|Person9"
"5","5","Object3|Animal2|Scene3|Object8|Animal5|Animal3|Person5|Person4|Object1|Animal1|Scenes8|Object5|Person1|Scene1|Person3|Object9|Person7|Scene7|Person6|Animal7|Object4|Scene5|Scene2|Object6|Scene6|Scene4|Person8|Object7|Animal6|Person9|Animal9|Animal4|Animal8|Object2|Scene9|Person2"
"6","6","Scene6|Animal7|Object6|Scene4|Animal4|Object4|Animal9|Person6|Object9|Animal2|Animal3|Object8|Scene5|Scene2|Object2|Scene3|Person4|Object1|Scene1|Object7|Scene7|Animal1|Scene9|Object5|Animal6|Animal5|Person1|Person2|Animal8|Person5|Person7|Person9|Object3|Person3|Scenes8|Person8"
"7","7","Object4|Object6|Scene7|Animal4|Animal3|Animal7|Animal5|Scene9|Object5|Animal8|Scenes8|Scene3|Scene5|Object2|Animal2|Scene1|Person4|Person7|Object3|Scene2|Object1|Object9|Scene4|Person5|Animal6|Person8|Object7|Animal1|Person6|Person2|Person3|Person1|Person9|Scene6|Object8|Animal9"
"8","8","Animal4|Object2|Object5|Person1|Object4|Animal9|Object1|Animal7|Scene5|Person9|Person5|Object7|Scene1|Person2|Person4|Person6|Scenes8|Object3|Animal2|Animal8|Scene2|Person7|Animal1|Scene3|Animal3|Animal6|Scene4|Scene6|Object8|Scene9|Person8|Person3|Object6|Animal5|Object9|Scene7"
"9","9","Person3|Object4|Person9|Animal2|Animal5|Object9|Object6|Animal6|Scene3|Person1|Object8|Scene7|Animal9|Scene4|Scene2|Animal4|Animal3|Animal1|Object7|Person4|Object2|Scenes8|Person7|Scene5|Person2|Scene1|Object1|Scene9|Person6|Animal8|Scene6|Animal7|Person8|Object5|Object3|Person5"
"10","10","Person3|Scene9|Person8|Person5|Scene4|Scene5|Object8|Object2|Scenes8|Person1|Person9|Scene3|Scene6|Animal9|Person6|Person4|Animal2|Animal1|Object1|Object7|Scene1|Animal8|Animal5|Scene2|Person2|Object9|Animal7|Scene7|Object4|Animal3|Animal4|Person7|Object5|Animal6|Object3|Object6"
"11","11","Person1|Animal6|Scene7|Person9|Scenes8|Animal2|Object6|Object9|Animal1|Object1|Scene9|Person2|Animal5|Object4|Person5|Scene2|Object5|Person6|Animal4|Scene5|Animal8|Person8|Animal9|Object8|Object2|Person7|Object3|Scene6|Person3|Object7|Animal3|Scene1|Person4|Scene4|Scene3|Animal7"
"12","12","Animal2|Person8|Animal5|Object7|Object1|Animal7|Object2|Scene7|Object9|Object6|Person5|Animal1|Animal3|Object3|Scene9|Animal4|Scene4|Person1|Person7|Person6|Person4|Scene3|Scenes8|Object8|Scene2|Person2|Animal9|Animal6|Scene5|Person9|Scene6|Animal8|Scene1|Object5|Person3|Object4"
"13","13","Person9|Animal6|Object7|Person4|Object8|Scene3|Object9|Animal3|Animal2|Scene5|Object4|Person3|Person1|Scene9|Person7|Person2|Scene7|Scene1|Animal8|Scene4|Animal5|Person8|Scene6|Animal4|Object1|Object3|Animal7|Scenes8|Object5|Object6|Animal1|Animal9|Object2|Person5|Person6|Scene2"
"14","14","Scene6|Object1|Object2|Person3|Animal2|Animal6|Object9|Animal1|Person2|Scene2|Animal7|Object5|Animal5|Scene4|Person1|Scene7|Person5|Scene3|Animal8|Animal4|Scene9|Person9|Object7|Person7|Person6|Scene1|Animal9|Scene5|Object4|Scenes8|Person4|Animal3|Person8|Object3|Object8|Object6"
"15","15","Object5|Animal8|Animal6|Scene3|Object9|Object3|Person3|Person7|Object7|Animal7|Scene7|Animal2|Object4|Person2|Object2|Person1|Person5|Animal3|Object1|Object8|Scene5|Person9|Person6|Animal5|Scene9|Scene2|Object6|Scene4|Person4|Animal1|Person8|Scene6|Scene1|Animal9|Animal4|Scenes8"
"16","16","Object2|Object6|Scene3|Person9|Animal9|Object8|Animal2|Object7|Scene5|Object3|Object5|Animal7|Scene6|Animal1|Person8|Animal8|Scene2|Animal3|Scenes8|Scene4|Person6|Person1|Object9|Object1|Scene1|Animal4|Person5|Scene9|Person7|Person2|Scene7|Person4|Animal5|Person3|Object4|Animal6"
